provincia;rank;punteggio
Trento;1;566
Bolzano;2;565
Aosta;3;558
Belluno;4;552
Sondrio;5;547
Milano;6;545
Siena;7;543
Roma;8;542
Trieste;9;539
Udine;10;535
Firenze;11;532
Bologna;12;530
Ravenna;13;529
Grosseto;14;526
Forlì;15;524
Lucca;16;521
Rimini;17;519
Macerata;18;517
Cuneo;19;515
Bergamo;20;514
Brescia;21;510
Gorizia;22;509
Padova;23;508
Lecco;24;507
Prato;25;506
Modena;26;506
Parma;27;506
Reggio nell'Emilia;28;505
Treviso;29;501
Piacenza;30;500
Ancona;31;500
Genova;32;498
Vicenza;33;498
Verbano-Cusio-Ossola;34;498
Pordenone;35;497
Mantova;36;495
Arezzo;37;495
Livorno;38;492
Verona;39;492
Venezia;40;489
Savona;41;489
Pesaro;42;489
Varese;43;489
Ferrara;44;488
Como;45;487
Perugia;46;487
Pisa;47;485
Lodi;48;483
Terni;49;478
Biella;50;478
La Spezia;51;477
Imperia;52;477
Torino;53;476
Novara;54;475
Cremona;55;472
Rieti;56;472
Ascoli Piceno;57;470
Matera;58;470
Viterbo;59;468
Sassari;60;464
Asti;61;463
Vercelli;62;463
Pistoia;63;462
Massa;64;460
Nuoro;65;459
Rovigo;66;459
Teramo;67;459
Cagliari;68;459
L'Aquila;69;459
Pavia;70;458
Alessandria;71;456
Oristano;72;454
Chieti;73;454
Pescara;74;446
Latina;75;444
Campobasso;76;442
Potenza;77;440
Crotone;78;440
Isernia;79;436
Frosinone;80;435
Messina;81;425
Ragusa;82;419
Lecce;83;411
Siracusa;84;411
Brindisi;85;408
Napoli;86;405
Salerno;87;404
Avellino;88;404
Enna;89;404
Cosenza;90;403
Trapani;91;403
Bari;92;399
Palermo;93;399
Caserta;94;399
Vibo Valentia;95;398
Caltanissetta;96;396
Reggio di Calabria;97;395
Taranto;98;393
Catanzaro;99;392
Catania;100;390
Foggia;101;385
Benevento;102;383
Agrigento;103;369